harbor_id,facility_name
1,Ice Plants
1,Cold Storage
1,Fuel Bunkering
1,Auction Hall
1,Net Mending Sheds
1,Navigational Beacon
2,Ice Plants
2,Cold Storage
2,Fuel Bunkering
2,Auction Hall
2,Net Mending Sheds
2,Navigational Beacon
3,Ice Plants
3,Cold Storage
3,Fuel Bunkering
3,Auction Hall
3,Net Mending Sheds
3,Navigational Beacon
4,Ice Boxes
4,Covered Auction Platform
4,Net Mending Area
4,Freshwater Tank
5,Ice Boxes
5,Covered Auction Platform
5,Net Mending Area
5,Freshwater Tank
6,Ice Plants
6,Cold Storage
6,Fuel Bunkering
6,Auction Hall
6,Net Mending Sheds
6,Navigational Beacon
7,Ice Boxes
7,Covered Auction Platform
7,Net Mending Area
7,Freshwater Tank
8,Ice Plants
8,Cold Storage
8,Fuel Bunkering
8,Auction Hall
8,Net Mending Sheds
8,Navigational Beacon
9,Ice Plants
9,Cold Storage
9,Fuel Bunkering
9,Auction Hall
9,Net Mending Sheds
9,Navigational Beacon
10,Ice Boxes
10,Covered Auction Platform
10,Net Mending Area
10,Freshwater Tank
11,Ice Plants
11,Cold Storage
11,Fuel Bunkering
11,Auction Hall
11,Net Mending Sheds
11,Navigational Beacon
12,Ice Boxes
12,Covered Auction Platform
12,Net Mending Area
12,Freshwater Tank
13,Ice Boxes
13,Covered Auction Platform
13,Net Mending Area
13,Freshwater Tank
14,Ice Plants
14,Cold Storage
14,Fuel Bunkering
14,Auction Hall
14,Net Mending Sheds
14,Navigational Beacon
15,Ice Plants
15,Cold Storage
15,Fuel Bunkering
15,Auction Hall
15,Net Mending Sheds
15,Navigational Beacon
16,Ice Plants
16,Cold Storage
16,Fuel Bunkering
16,Auction Hall
16,Net Mending Sheds
16,Navigational Beacon
17,Ice Boxes
17,Covered Auction Platform
17,Net Mending Area
17,Freshwater Tank
18,Ice Plants
18,Cold Storage
18,Fuel Bunkering
18,Auction Hall
18,Net Mending Sheds
18,Navigational Beacon
19,Ice Plants
19,Cold Storage
19,Fuel Bunkering
19,Auction Hall
19,Net Mending Sheds
19,Navigational Beacon
20,Ice Plants
20,Cold Storage
20,Fuel Bunkering
20,Auction Hall
20,Net Mending Sheds
20,Navigational Beacon
21,Ice Plants
21,Cold Storage
21,Fuel Bunkering
21,Auction Hall
21,Net Mending Sheds
21,Navigational Beacon
22,Ice Plants
22,Cold Storage
22,Fuel Bunkering
22,Auction Hall
22,Net Mending Sheds
22,Navigational Beacon
23,Ice Plants
23,Cold Storage
23,Fuel Bunkering
23,Auction Hall
23,Net Mending Sheds
23,Navigational Beacon
24,Ice Plants
24,Cold Storage
24,Fuel Bunkering
24,Auction Hall
24,Net Mending Sheds
24,Navigational Beacon
25,Ice Plants
25,Cold Storage
25,Fuel Bunkering
25,Auction Hall
25,Net Mending Sheds
25,Navigational Beacon
26,Ice Boxes
26,Covered Auction Platform
26,Net Mending Area
26,Freshwater Tank
27,Ice Plants
27,Cold Storage
27,Fuel Bunkering
27,Auction Hall
27,Net Mending Sheds
27,Navigational Beacon
28,Ice Plants
28,Cold Storage
28,Fuel Bunkering
28,Auction Hall
28,Net Mending Sheds
28,Navigational Beacon
29,Ice Boxes
29,Covered Auction Platform
29,Net Mending Area
29,Freshwater Tank
30,Ice Plants
30,Cold Storage
30,Fuel Bunkering
30,Auction Hall
30,Net Mending Sheds
30,Navigational Beacon
31,Ice Plants
31,Cold Storage
31,Fuel Bunkering
31,Auction Hall
31,Net Mending Sheds
31,Navigational Beacon
32,Ice Plants
32,Cold Storage
32,Fuel Bunkering
32,Auction Hall
32,Net Mending Sheds
32,Navigational Beacon
33,Ice Boxes
33,Covered Auction Platform
33,Net Mending Area
33,Freshwater Tank
34,Ice Boxes
34,Covered Auction Platform
34,Net Mending Area
34,Freshwater Tank
35,Ice Plants
35,Cold Storage
35,Fuel Bunkering
35,Auction Hall
35,Net Mending Sheds
35,Navigational Beacon
36,Ice Boxes
36,Covered Auction Platform
36,Net Mending Area
36,Freshwater Tank
37,Ice Plants
37,Cold Storage
37,Fuel Bunkering
37,Auction Hall
37,Net Mending Sheds
37,Navigational Beacon
38,Ice Plants
38,Cold Storage
38,Fuel Bunkering
38,Auction Hall
38,Net Mending Sheds
38,Navigational Beacon
39,Ice Plants
39,Cold Storage
39,Fuel Bunkering
39,Auction Hall
39,Net Mending Sheds
39,Navigational Beacon
40,Ice Boxes
40,Covered Auction Platform
40,Net Mending Area
40,Freshwater Tank
41,Ice Plants
41,Cold Storage
41,Fuel Bunkering
41,Auction Hall
41,Net Mending Sheds
41,Navigational Beacon
42,Ice Plants
42,Cold Storage
42,Fuel Bunkering
42,Auction Hall
42,Net Mending Sheds
42,Navigational Beacon
43,Ice Boxes
43,Covered Auction Platform
43,Net Mending Area
43,Freshwater Tank
44,Ice Boxes
44,Covered Auction Platform
44,Net Mending Area
44,Freshwater Tank
45,Ice Plants
45,Cold Storage
45,Fuel Bunkering
45,Auction Hall
45,Net Mending Sheds
45,Navigational Beacon
46,Ice Plants
46,Cold Storage
46,Fuel Bunkering
46,Auction Hall
46,Net Mending Sheds
46,Navigational Beacon
47,Ice Boxes
47,Covered Auction Platform
47,Net Mending Area
47,Freshwater Tank
48,Ice Plants
48,Cold Storage
48,Fuel Bunkering
48,Auction Hall
48,Net Mending Sheds
48,Navigational Beacon
49,Ice Boxes
49,Covered Auction Platform
49,Net Mending Area
49,Freshwater Tank
50,Ice Boxes
50,Covered Auction Platform
50,Net Mending Area
50,Freshwater Tank
51,Ice Boxes
51,Covered Auction Platform
51,Net Mending Area
51,Freshwater Tank
52,Ice Plants
52,Cold Storage
52,Fuel Bunkering
52,Auction Hall
52,Net Mending Sheds
52,Navigational Beacon
53,Ice Boxes
