harbor_id,landing_center_name,sector,state,district,coastal_zone,latitude,longitude,latitude_dms,longitude_dms,harbor_type,vessel_capacity,typical_depth_min_m,typical_depth_max_m,regional_language,facilities,source
1,Veraval Fishing Harbor,Gujarat,Gujarat,Gir Somnath,Kathiawar / Kutch Coast,20.905,70.357,20° 54.3' N,70° 21.4' E,MAJOR,1500,30,90,Gujarati,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
2,Porbandar Fishing Harbor,Gujarat,Gujarat,Porbandar,Kathiawar / Kutch Coast,21.634,69.616,21° 38.0' N,69° 37.0' E,MAJOR,1500,35,110,Gujarati,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
3,Okha Port Landing Center,Gujarat,Gujarat,Devbhumi Dwarka,Kathiawar / Kutch Coast,22.467,69.069,22° 28.0' N,69° 04.1' E,MAJOR,1500,40,120,Gujarati,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
4,Mangrol Fish Landing Center,Gujarat,Gujarat,Junagadh,Kathiawar / Kutch Coast,21.118,70.114,21° 07.1' N,70° 06.8' E,LANDING_CENTER,400,25,80,Gujarati,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
5,Jafarabad Landing Center,Gujarat,Gujarat,Amreli,Kathiawar / Kutch Coast,20.865,71.365,20° 51.9' N,71° 21.9' E,LANDING_CENTER,400,20,60,Gujarati,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
6,Sassoon Dock Harbor,Maharashtra,Maharashtra,Mumbai City,Konkan Coast,18.9067,72.831,18° 54.4' N,72° 49.9' E,MAJOR,1500,30,85,Marathi,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
7,Versova Fish Landing Center,Maharashtra,Maharashtra,Mumbai Suburban,Konkan Coast,19.138,72.812,19° 08.3' N,72° 48.7' E,LANDING_CENTER,400,25,75,Marathi,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
8,Ratnagiri Mirkarwada Harbor,Maharashtra,Maharashtra,Ratnagiri,Konkan Coast,16.985,73.284,16° 59.1' N,73° 17.0' E,MAJOR,1500,35,100,Marathi,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
9,Malvan Fishery Port,Maharashtra,Maharashtra,Sindhudurg,Konkan Coast,16.059,73.465,16° 03.5' N,73° 27.9' E,MAJOR,1500,30,95,Marathi,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
10,Satpati Landing Center,Maharashtra,Maharashtra,Palghar,Konkan Coast,19.734,72.702,19° 44.0' N,72° 42.1' E,LANDING_CENTER,400,20,65,Marathi,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
11,Cutbon Fishing Harbor,Goa,Goa,South Goa,Goa Coast,15.178,73.948,15° 10.7' N,73° 56.9' E,MAJOR,1500,25,85,Konkani/Marathi,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
12,Malim Jetty (Panaji),Goa,Goa,North Goa,Goa Coast,15.508,73.832,15° 30.5' N,73° 49.9' E,LANDING_CENTER,400,30,90,Konkani/Marathi,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
13,Chapora Fish Landing Center,Goa,Goa,North Goa,Goa Coast,15.607,73.738,15° 36.4' N,73° 44.3' E,LANDING_CENTER,400,20,70,Konkani/Marathi,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
14,Mangalore Old Port (Bunder),Karnataka,Karnataka,Dakshina Kannada,Canara Coast,12.861,74.834,12° 51.7' N,74° 50.0' E,MAJOR,1500,30,100,Kannada,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
15,Malpe Fishing Harbor,Karnataka,Karnataka,Udupi,Canara Coast,13.35,74.707,13° 21.0' N,74° 42.4' E,MAJOR,1500,35,115,Kannada,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
16,Tadri Fish Port,Karnataka,Karnataka,Uttara Kannada,Canara Coast,14.529,74.348,14° 31.7' N,74° 20.9' E,MAJOR,1500,25,80,Kannada,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
17,Honnavar Landing Center,Karnataka,Karnataka,Uttara Kannada,Canara Coast,14.283,74.445,14° 17.0' N,74° 26.7' E,LANDING_CENTER,400,30,85,Kannada,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
18,Karwar Fishery Port (Baithkol),Karnataka,Karnataka,Uttara Kannada,Canara Coast,14.805,74.125,14° 48.3' N,74° 07.5' E,MAJOR,1500,35,95,Kannada,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
19,Cochin Fishing Harbor (Thoppumpady),Kerala,Kerala,Ernakulam,Malabar & Travancore Coast,9.968,76.243,09° 58.1' N,76° 14.6' E,MAJOR,1500,30,120,Malayalam,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
20,Munambam Harbor,Kerala,Kerala,Ernakulam,Malabar & Travancore Coast,10.179,76.173,10° 10.7' N,76° 10.4' E,MAJOR,1500,25,90,Malayalam,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
21,Beypore Fishery Harbor,Kerala,Kerala,Kozhikode,Malabar & Travancore Coast,11.171,75.807,11° 10.3' N,75° 48.4' E,MAJOR,1500,30,100,Malayalam,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
22,Sakthikulangara-Neendakara Harbor,Kerala,Kerala,Kollam,Malabar & Travancore Coast,8.941,76.541,08° 56.5' N,76° 32.5' E,MAJOR,1500,35,130,Malayalam,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
23,Vizhinjam Fishery Harbor,Kerala,Kerala,Thiruvananthapuram,Malabar & Travancore Coast,8.375,76.993,08° 22.5' N,76° 59.6' E,MAJOR,1500,40,150,Malayalam,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
24,Mopla Bay Harbor (Kannur),Kerala,Kerala,Kannur,Malabar & Travancore Coast,11.854,75.372,11° 51.2' N,75° 22.3' E,MAJOR,1500,25,85,Malayalam,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
25,Tuticorin Fishing Harbor,South Tamil Nadu,Tamil Nadu,Thoothukudi,Gulf of Mannar / Palk Bay,8.764,78.158,08° 45.8' N,78° 09.5' E,MAJOR,1500,25,95,Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
26,Rameswaram Fishing Jetty,South Tamil Nadu,Tamil Nadu,Ramanathapuram,Gulf of Mannar / Palk Bay,9.288,79.313,09° 17.3' N,79° 18.8' E,LANDING_CENTER,400,15,55,Tamil,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
27,Colachel Fishery Port,South Tamil Nadu,Tamil Nadu,Kanyakumari,Gulf of Mannar / Palk Bay,8.175,77.258,08° 10.5' N,77° 15.5' E,MAJOR,1500,40,140,Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
28,Chinnamuttam Harbor,South Tamil Nadu,Tamil Nadu,Kanyakumari,Gulf of Mannar / Palk Bay,8.093,77.561,08° 05.6' N,77° 33.7' E,MAJOR,1500,35,120,Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
29,Mandapam Landing Center,South Tamil Nadu,Tamil Nadu,Ramanathapuram,Gulf of Mannar / Palk Bay,9.277,79.132,09° 16.6' N,79° 07.9' E,LANDING_CENTER,400,15,50,Tamil,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
30,Kasimedu (Chennai Fishing Harbor),North Tamil Nadu,Tamil Nadu,Chennai,Coromandel Coast,13.115,80.294,13° 06.9' N,80° 17.6' E,MAJOR,1500,30,110,Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
31,Cuddalore Old Town Harbor,North Tamil Nadu,Tamil Nadu,Cuddalore,Coromandel Coast,11.75,79.77,11° 45.0' N,79° 46.2' E,MAJOR,1500,25,80,Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
32,Nagapattinam Fishing Harbor,North Tamil Nadu,Tamil Nadu,Nagapattinam,Coromandel Coast,10.763,79.848,10° 45.8' N,79° 50.9' E,MAJOR,1500,30,90,Tamil,"Ice Plants, Cold Storage, Fuel Bunkering, Auction Hall, Net Mending Sheds, Navigational Beacon",INCOIS / NFDB / Dept of Fisheries
33,Poompuhar Fish Landing Center,North Tamil Nadu,Tamil Nadu,Mayiladuthurai,Coromandel Coast,11.144,79.855,11° 08.6' N,79° 51.3' E,LANDING_CENTER,400,25,75,Tamil,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
34,Krishnapatnam Landing Center,South Andhra Pradesh,Andhra Pradesh,SPSR Nellore,South Andhra Coast,14.256,80.125,14° 15.4' N,80° 07.5' E,LANDING_CENTER,400,25,75,Telugu,"Ice Boxes, Covered Auction Platform, Net Mending Area, Freshwater Tank",INCOIS / NFDB / Dept of Fisheries
