boundary_id,boundary_type,country,neighbor_country,jurisdiction_nm,latitude,longitude,point_order,description,source
IND-EEZ-001,EEZ (Exclusive Economic Zone),India,N/A,200,23.7,68.1,1,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-002,EEZ (Exclusive Economic Zone),India,N/A,200,22.5,68.2,2,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-003,EEZ (Exclusive Economic Zone),India,N/A,200,20.5,68.8,3,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-004,EEZ (Exclusive Economic Zone),India,N/A,200,18.5,70.0,4,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-005,EEZ (Exclusive Economic Zone),India,N/A,200,16.0,71.0,5,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-006,EEZ (Exclusive Economic Zone),India,N/A,200,14.0,72.0,6,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-007,EEZ (Exclusive Economic Zone),India,N/A,200,12.0,73.0,7,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-008,EEZ (Exclusive Economic Zone),India,N/A,200,10.0,74.0,8,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-009,EEZ (Exclusive Economic Zone),India,N/A,200,8.0,75.5,9,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-010,EEZ (Exclusive Economic Zone),India,N/A,200,6.5,77.5,10,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-011,EEZ (Exclusive Economic Zone),India,N/A,200,6.0,79.0,11,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-012,EEZ (Exclusive Economic Zone),India,N/A,200,8.0,81.0,12,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-013,EEZ (Exclusive Economic Zone),India,N/A,200,10.0,82.5,13,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-014,EEZ (Exclusive Economic Zone),India,N/A,200,12.0,83.5,14,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-015,EEZ (Exclusive Economic Zone),India,N/A,200,14.0,84.5,15,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-016,EEZ (Exclusive Economic Zone),India,N/A,200,16.0,85.5,16,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-017,EEZ (Exclusive Economic Zone),India,N/A,200,18.0,87.0,17,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-018,EEZ (Exclusive Economic Zone),India,N/A,200,19.5,88.5,18,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-019,EEZ (Exclusive Economic Zone),India,N/A,200,20.5,89.5,19,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
IND-EEZ-020,EEZ (Exclusive Economic Zone),India,N/A,200,21.5,89.0,20,Outer limit of India Exclusive Economic Zone (200 Nautical Miles),MarineRegions.org / UNCLOS
