zone_id,boundary_id,zone_name,state,latitude,longitude,area_km2,zone_type,restriction_details,active_months,source
IND-MPA-001,IND-EEZ-001,Gulf of Mannar Marine National Park & Biosphere Reserve,Tamil Nadu,9.14,79.08,560.0,MPA,"Strict No-Take Marine Zone — Coral reefs, Dugong (Sea Cow), Green Sea Turtles, Seagrass meadows",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-002,IND-EEZ-001,Mahatma Gandhi Marine National Park (Wandoor),Andaman & Nicobar,11.58,92.63,281.5,MPA,"Strict Marine Protected Sanctuary — Fringing coral reefs, Hawksbill turtle nesting, 271 coral species",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-003,IND-EEZ-001,Marine National Park & Sanctuary (Gulf of Kutch),Gujarat,22.42,69.17,457.9,MPA,"Strict Ecological Conservation Zone — Mangroves, Corals, Whale Shark, Sponge colonies, Pearl Oysters",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-004,IND-EEZ-001,Gahirmatha Marine Sanctuary,Odisha,20.73,87.07,1435.0,MPA,Seasonal & Permanent No-Fishing Sanctuary — World's largest Olive Ridley Sea Turtle rookery (Arribada nesting site),All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-005,IND-EEZ-001,Sundarbans National Park (Marine & Estuarine Biosphere),West Bengal,21.94,88.9,1330.1,MPA,"Strict Tidal Estuarine Reserve — Royal Bengal Tiger, Irrawaddy Dolphin, Saltwater Crocodile, Mangrove ecosystem",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-006,IND-EEZ-001,Malvan Marine Sanctuary (Sindhudurg Fort),Maharashtra,16.06,73.46,29.1,MPA,"No-Take Ecological Reserve — Submerged coral patches, Pearl oysters, Sea anemones, Seaweeds",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-007,IND-EEZ-001,Rani Jhansi Marine National Park (Ritchie's Archipelago),Andaman & Nicobar,12.08,92.88,256.1,MPA,"Strict Island Coral Reserve — Coral reef lagoon, Dugong, Fruit bats, Saltwater crocodile",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-008,IND-EEZ-001,Bhitarkanika Marine & Mangrove National Park,Odisha,20.73,86.87,145.0,MPA,"Strict Estuarine Protected Zone — Giant Saltwater Crocodiles, 8 Kingfisher species, Mangrove forests",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-009,IND-EEZ-001,East Coast Monsoon Marine Fishing Ban (Annual 61-Day),"TN, AP, Odisha, WB",14.5,83.0,45000.0,NO_FISHING,Seasonal Ban: April 15 to June 14 — Breeding and spawning season protection for commercially important marine species,All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
IND-MPA-010,IND-EEZ-001,West Coast Monsoon Marine Fishing Ban (Annual 61-Day),"Gujarat, MH, Goa, Karnataka, Kerala",15.0,72.5,55000.0,NO_FISHING,"Seasonal Ban: June 1 to July 31 — Monsoon pelagic spawning stock regeneration (Sardine, Mackerel, Prawn juveniles)",All Year (Permanent Sanctuary),WDPA (ProtectedPlanet) / MoEFCC Wildlife Institute of India
