weather_id,harbor_id,landing_center_name,sector,latitude,longitude,datetime_utc,air_temp_celsius,humidity_pct,precipitation_mm,weather_code,weather_condition,wind_speed_mps,wind_speed_kmph,wind_direction_deg,wind_gust_mps,surface_pressure_hpa,visibility_km,cloud_cover_pct,venturing_safety_index,source
1,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 00:00:00,26.2,92.6,0.0,1,Mainly clear,7.2,25.9,243,9.7,1010.6,8.7,31.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
2,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 01:00:00,25.6,95.3,2.0,61,Slight rain,3.7,13.3,261,5.1,1009.9,5.0,75.0,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
3,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 02:00:00,25.1,93.7,0.0,0,Clear sky,3.2,11.5,245,4.9,1009.3,9.5,10.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
4,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 03:00:00,25.9,94.4,0.0,1,Mainly clear,3.4,12.2,269,4.5,1008.8,7.7,22.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
5,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 04:00:00,26.0,91.8,0.0,0,Clear sky,4.1,14.8,251,6.1,1008.5,9.7,19.5,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
6,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 05:00:00,27.0,91.3,0.0,0,Clear sky,2.7,9.7,276,3.7,1008.5,7.7,10.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
7,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 06:00:00,26.7,86.0,0.0,1,Mainly clear,5.5,19.8,274,8.4,1007.9,8.5,32.7,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
8,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 07:00:00,27.5,82.2,0.0,1,Mainly clear,4.2,15.1,271,5.9,1008.6,9.1,25.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
9,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 08:00:00,28.6,79.9,0.0,1,Mainly clear,6.3,22.7,274,9.3,1008.4,10.5,43.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
10,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 09:00:00,28.8,77.9,1.0,61,Slight rain,1.9,6.8,280,2.8,1009.0,7.6,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
11,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 10:00:00,30.5,74.7,0.0,2,Partly cloudy,3.6,13.0,275,5.7,1009.3,9.2,55.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
12,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 11:00:00,30.2,74.1,0.0,1,Mainly clear,6.2,22.3,280,9.6,1010.2,8.9,43.8,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
13,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 12:00:00,30.7,68.2,1.9,61,Slight rain,9.0,32.4,261,11.7,1010.4,5.7,75.0,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
14,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 13:00:00,31.1,70.7,0.0,1,Mainly clear,8.9,32.0,253,13.4,1010.0,9.2,36.4,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
15,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 14:00:00,30.6,67.3,0.0,2,Partly cloudy,8.7,31.3,238,12.6,1009.2,9.5,53.1,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
16,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 15:00:00,31.1,68.7,0.0,2,Partly cloudy,9.1,32.8,269,12.5,1008.9,8.9,56.6,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
17,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 16:00:00,31.2,69.5,0.0,2,Partly cloudy,11.0,39.6,240,16.1,1009.2,9.0,68.3,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
18,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 17:00:00,30.8,76.5,0.0,1,Mainly clear,8.5,30.6,267,11.6,1008.5,9.2,47.2,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
19,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 18:00:00,29.5,76.9,0.0,1,Mainly clear,7.8,28.1,281,10.4,1007.8,8.7,37.3,Safe,Open-Meteo Global Atmospheric Model / IMD Surface Network
20,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 19:00:00,29.4,80.8,8.0,63,Moderate rain,11.0,39.6,240,15.1,1008.3,1.5,75.0,Caution,Open-Meteo Global Atmospheric Model / IMD Surface Network
