track_id,cyclone_id,cyclone_name,season,basin,subbasin,observation_dt,latitude,longitude,max_sustained_wind_knots,max_sustained_wind_kmph,central_barometric_pressure_hpa,wmo_cyclone_stage,distance_to_land_km,storm_translation_speed_kmph,storm_heading_deg,official_landfall_location,source
1,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-15 00:00:00,12.5,66.0,33.2,61.5,987.7,Deep Depression (DD),461.6,17.6,302.7,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
2,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-15 06:00:00,12.7832,66.0885,34.8,64.4,986.1,Cyclonic Storm (CS),438.4,11.1,314.4,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
3,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-15 12:00:00,13.0663,66.1769,36.9,68.3,984.6,Cyclonic Storm (CS),431.0,17.6,315.0,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
4,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-15 18:00:00,13.3492,66.265,37.9,70.2,983.0,Cyclonic Storm (CS),430.7,14.0,321.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
5,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-16 00:00:00,13.6318,66.3527,40.4,74.8,981.4,Cyclonic Storm (CS),391.0,12.9,321.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
6,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-16 06:00:00,13.914,66.4398,44.2,81.9,979.8,Cyclonic Storm (CS),384.2,14.3,315.3,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
7,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-16 12:00:00,14.1958,66.5262,44.1,81.7,978.3,Cyclonic Storm (CS),375.0,15.8,329.7,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
8,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-16 18:00:00,14.477,66.6117,49.0,90.7,976.7,Severe Cyclonic Storm (SCS),378.2,17.3,323.7,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
9,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-17 00:00:00,14.7576,66.6963,51.9,96.1,975.1,Severe Cyclonic Storm (SCS),372.8,11.2,318.9,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
10,2023157N13066,BIPARJOY,2023,NI (North Indian Ocean),ARB,2023-05-17 06:00:00,15.0374,66.7798,54.3,100.6,973.6,Severe Cyclonic Storm (SCS),340.4,12.2,310.1,Jakhau Port (Gujarat),IMD Regional Specialized Meteorological Centre (RSMC) New Delhi / NOAA IBTrACS
