catch_id,year,quarter,state,species_group,scientific_name,ecological_category,catch_volume_tonnes,fishing_fleet_segment,monsoon_ban_impact,source,species_id
1,2018,Q1,Gujarat,Oil Sardine,Sardinella longiceps,Pelagic,2881.8,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
2,2018,Q1,Gujarat,Oil Sardine,Sardinella longiceps,Pelagic,1059.5,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
3,2018,Q1,Gujarat,Oil Sardine,Sardinella longiceps,Pelagic,296.7,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,1
4,2018,Q1,Gujarat,Indian Mackerel,Rastrelliger kanagurta,Pelagic,1670.4,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
5,2018,Q1,Gujarat,Indian Mackerel,Rastrelliger kanagurta,Pelagic,614.1,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
6,2018,Q1,Gujarat,Indian Mackerel,Rastrelliger kanagurta,Pelagic,172.0,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,2
7,2018,Q1,Gujarat,Ribbonfishes,Trichiurus lepturus,Pelagic,6056.1,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
8,2018,Q1,Gujarat,Ribbonfishes,Trichiurus lepturus,Pelagic,2226.5,Motorized (Outboard Engine Craft),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
9,2018,Q1,Gujarat,Ribbonfishes,Trichiurus lepturus,Pelagic,623.4,Traditional (Non-Motorized Artisanal),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,3
10,2018,Q1,Gujarat,Penaeid Prawns,Penaeus monodon / indicus,Demersal,9395.6,Mechanized (Trawler / Purse Seiner),Normal Operation,CMFRI (Central Marine Fisheries Research Institute) National Marine Fishery Census,4
