current_id,date,grid_latitude,grid_longitude,current_u_velocity_mps,current_v_velocity_mps,surface_current_speed_mps,surface_current_speed_knots,current_direction_deg,current_regime,depth_m,source
1,2026-08-25,6.0,68.0,-0.168,-0.161,0.233,0.45,226.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
2,2026-08-25,6.0,69.0,-0.081,-0.183,0.2,0.39,203.9,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
3,2026-08-25,6.0,70.0,-0.239,-0.291,0.377,0.73,219.4,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
4,2026-08-25,6.0,71.0,-0.096,-0.191,0.214,0.42,206.7,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
5,2026-08-25,6.0,72.0,-0.178,-0.289,0.339,0.66,211.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
6,2026-08-25,6.0,73.0,-0.052,-0.28,0.285,0.55,190.5,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
7,2026-08-25,6.0,74.0,-0.161,-0.369,0.403,0.78,203.6,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
8,2026-08-25,6.0,75.0,-0.122,-0.45,0.466,0.91,195.2,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
9,2026-08-25,6.0,76.0,-0.24,-0.292,0.378,0.73,219.4,West India Coastal Current (WICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
10,2026-08-25,6.0,77.0,0.183,0.025,0.185,0.36,82.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
11,2026-08-25,6.0,78.0,0.175,0.205,0.27,0.52,40.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
12,2026-08-25,6.0,79.0,0.286,0.153,0.324,0.63,61.9,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
13,2026-08-25,6.0,80.0,0.233,0.079,0.246,0.48,71.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
14,2026-08-25,6.0,81.0,0.317,0.125,0.341,0.66,68.5,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
15,2026-08-25,6.0,82.0,0.213,0.184,0.281,0.55,49.2,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
16,2026-08-25,6.0,83.0,0.15,0.29,0.326,0.63,27.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
17,2026-08-25,6.0,84.0,0.154,-0.017,0.155,0.3,96.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
18,2026-08-25,6.0,85.0,0.255,0.335,0.421,0.82,37.3,East India Coastal Current (EICC),0.0,NASA OSCAR L4 / INCOIS High-Res Hydrodynamic Ocean Model
