sst_id,harbor_id,landing_center_name,sector,latitude,longitude,datetime_utc,sst_celsius,sst_anomaly_celsius,thermal_front_gradient_c_km,source
1,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 00:00:00,28.23,0.76,0.38,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
2,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 01:00:00,28.06,0.59,0.34,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
3,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 02:00:00,27.99,0.52,0.14,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
4,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 03:00:00,27.97,0.5,0.43,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
5,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 04:00:00,28.26,0.79,0.13,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
6,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 05:00:00,28.19,0.72,0.47,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
7,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 06:00:00,28.09,0.62,0.19,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
8,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 07:00:00,28.34,0.87,0.19,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
9,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 08:00:00,28.42,0.95,0.28,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
10,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 09:00:00,28.22,0.75,0.22,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
11,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 10:00:00,28.49,1.02,0.23,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
12,1,Veraval Fishing Harbor,Gujarat,20.905,70.357,2026-07-27 11:00:00,28.81,1.34,0.25,MOSDAC (ISRO) / Copernicus Marine GHRSST L4 Blend
