grid_point_id,date,grid_latitude,grid_longitude,sst_celsius,sst_anomaly_celsius,quality_level,satellite_product,resolution_deg
1,2026-08-25,6.0,68.0,29.62,1.12,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
2,2026-08-25,6.0,68.5,29.4,0.9,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
3,2026-08-25,6.0,69.0,29.26,0.76,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
4,2026-08-25,6.0,69.5,29.65,1.15,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
5,2026-08-25,6.0,70.0,29.34,0.84,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
6,2026-08-25,6.0,70.5,29.75,1.25,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
7,2026-08-25,6.0,71.0,29.66,1.16,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
8,2026-08-25,6.0,71.5,29.77,1.27,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
9,2026-08-25,6.0,72.0,29.84,1.34,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
10,2026-08-25,6.0,72.5,29.39,0.89,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
11,2026-08-25,6.0,73.0,29.5,1.0,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
12,2026-08-25,6.0,73.5,29.43,0.93,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
13,2026-08-25,6.0,74.0,29.2,0.7,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
14,2026-08-25,6.0,74.5,29.43,0.93,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
15,2026-08-25,6.0,75.0,29.46,0.96,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
16,2026-08-25,6.0,75.5,29.27,0.77,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
17,2026-08-25,6.0,76.0,29.77,1.27,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
18,2026-08-25,6.0,76.5,29.35,0.85,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
19,2026-08-25,6.0,77.0,29.68,1.18,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
20,2026-08-25,6.0,77.5,29.2,0.7,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
21,2026-08-25,6.0,78.0,29.17,0.67,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
22,2026-08-25,6.0,78.5,29.85,1.35,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
23,2026-08-25,6.0,79.0,29.24,0.74,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
24,2026-08-25,6.0,79.5,29.69,1.19,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
25,2026-08-25,6.0,80.0,29.57,1.07,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
26,2026-08-25,6.0,80.5,29.47,0.97,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
27,2026-08-25,6.0,81.0,29.18,0.68,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
28,2026-08-25,6.0,81.5,29.38,0.88,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
29,2026-08-25,6.0,82.0,29.78,1.28,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
30,2026-08-25,6.0,82.5,29.78,1.28,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
31,2026-08-25,6.0,83.0,29.57,1.07,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
32,2026-08-25,6.0,83.5,29.55,1.05,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
33,2026-08-25,6.0,84.0,29.45,0.95,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
34,2026-08-25,6.0,84.5,29.69,1.19,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
35,2026-08-25,6.0,85.0,29.77,1.27,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
36,2026-08-25,6.0,85.5,29.66,1.16,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
37,2026-08-25,6.0,86.0,29.52,1.02,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
38,2026-08-25,6.0,86.5,29.59,1.09,5,GHRSST L4 / INSAT-3DR MOSDAC / Sentinel-3 SLSTR,0.5
